Kategorie;Fun Fact
Menschlicher Körper;Dein Gehirn ist das Organ mit dem höchsten Energieverbrauch.
Menschlicher Körper;Frauenherzen schlagen etwas schneller als Männerherzen, da Letztere ein wenig größer sind.
Menschlicher Körper;Der menschliche Körper verfügt über 206 Knochen – mehr als die Hälfte davon stecken in deinen Hand- und Fußgelenken sowie in deinen Händen und Füßen.
Menschlicher Körper;Um deine Stirn zu runzeln, musst dein Körper rund 40 Muskeln in Anspruch nehmen.
Menschlicher Körper;Ein Wimpernschlag dauert ungefähr 0,15 Sekunden.
Menschlicher Körper;Wir verbringen rund sieben Stunden im Jahr sitzend auf der Toilette.
Menschlicher Körper;Der stärkste Muskel im menschlichen Körper ist der Kiefer.
Menschlicher Körper;Den schnellsten Muskel besitzt das Auge.
Menschlicher Körper;Der Körper verfügt zwischen zwei und fünf Millionen Schweißdrüsen.
Menschlicher Körper;Deine Zähne sind ein Teil deines Skeletts, zählen aber nicht als Knochen.
Menschlicher Körper;Ohne deinen kleinen Finger würdest du in etwa die Hälfte deiner Kraft in der Hand verlieren.
Menschlicher Körper;Etwa zwei Drittel der Menschen neigen ihren Kopf beim Küssen nach rechts, weil sie als Fötus im Mutterleib ihren Kopf ebenfalls zur rechten Seite geneigt haben.
Erde;Es gibt mehr Bäume auf der Erde als Sterne im Weltall.
Erde;Afrika ist so ein großer Kontinent, dass er sich über alle vier Hemisphären erstreckt.
Erde;Laut Forschenden soll das Gold im Erdmantel eigentlich aus dem All gekommen sein.
Erde;Amerika wurde gar nicht von Christopher Kolumbus entdeckt. Bereits die Wikinger waren vor Kolumbus dort.
Erde;Etwa 80 Prozent aller Pflanzen auf der Welt sind unter Wasser.
Erde;Island wächst jedes Jahr um fünf Zentimeter aufgrund der Tektonik.
Erde;Unser Planet ist nicht gänzlich rund. Durch die Erdrotation kommt es beispielsweise zu einer Abflachung an den Polen.
Erde;Die Gravitation ist nicht überall auf der Erde gleich.
Erde;Ein Blitz kann bis zu 30.000 Grad Celsius heiß werden.
Erde;Obwohl die Oberfläche der Erde zu zwei Dritteln aus Wasser besteht, sind etwa 95 Prozent der Ozeane unerforscht.
Erde;Die Antarktis beherbergt 70 Prozent des Süßwassers der Erde.
Erde;In der iranischen Wüste Dasht-e Lut herrschen teilweise Temperaturen von 70 Grad Celsius – damit ist es dort so heiß wie nirgendwo anders.
Erde;Die größte Wüste der Welt ist eine Eiswüste in der Antarktis.
Erde;Der Kilauea auf Hawaii ist der aktivste Vulkan der Welt.
Top 10;Sieben Prozent der amerikanischen Erwachsenen glauben, dass Schokoladenmilch von braunen Kühen stammt
Top 10;"""Tiramisu"" bedeutet auf Italienisch so viel wie ""Nimm mich mit in den Himmel""."
Top 10;Blauäugige Menschen vertragen mehr Alkohol als Menschen mit einer dunkleren Augenfarbe.
Top 10;Auf der Zunge einer Weinbergschnecke lassen sich etwa 40.000 Zähne finden.
Top 10;Azteken haben den Flummi erfunden.
Top 10;In Schottland soll es über 400 verschiedene Wörter geben, die das Wort Schnee beschreiben.
Top 10;Anatidaephobie ist die Angst von einer Ente beobachtet zu werden.
Top 10;Pferde können nicht durch ihren Mund atmen.
Top 10;In der Schweiz ist es verboten, ein einzelnes Meerschweinchen zu halten.
Top 10;Auberginen enthalten geringe Mengen an Nikotin.
Weitere Facts;Ein Tornado kann bis zu 480 Kilometer pro Stunde schnell werden und ist damit schneller als ein Flugzeug im Landeanflug.
Weitere Facts;In Japan wird für die Herstellung von Mangas mehr Papier verwendet als für Toilettenpapier.
Weitere Facts;In der Botanik zählt die Bananenpflanze eigentlich zu den Kräutern.
Weitere Facts;Um ihre Zähne gesund zu halten, benutzten die Römer ihren Urin als Mundwasser.
Weitere Facts;Niemand weiß, wer Jack the Ripper war.
Weitere Facts;Der Schnurrbart war schon vor vielen Jahren sehr beliebt, weshalb es spezielle Tassen für Schnurrbartträger gab. Sie schützten den Bart vor Feuchtigkeit und Dampf.
Weitere Facts;Kleopatra stammt nicht aus Ägypten, sondern aus Griechenland.
Weitere Facts;In den 1830er-Jahren wurde Ketchup als Medizin verkauft – unter anderem gegen Durchfall und Gelbsucht.
Weitere Facts;Im 17. und 18. Jahrhundert hielt man die Tomatenpflanze aufgrund ihrer Optik für giftig.
Weitere Facts;Der Homo sapiens existierte zeitgleich zum Neandertaler.
Weitere Facts;Eine Wolke kann je nach Größe bis zu 10.000 Kilogramm schwer sein.
Weitere Facts;Die eigentliche Entschlüsselung des Erbguts gelang der britischen Biochemikerin Rosalind Franklin. Den Nobelpreis für die Entdeckung heimsten sich zwei andere Wissenschaftler ein, die Franklins Untersuchungsergebnisse durchgegangen sind.
Weitere Facts;Der Eiffelturm wird im Sommer circa 30 Zentimeter größer, da sich das Eisen bei Hitze ausdehnt.
Weitere Facts;Russland hat eine größere Fläche als der Zwergplanet Pluto.
Weitere Facts;Alle Clownfische werden männlich geboren.
Weitere Facts;Das Chupa-Chups-Logo wurde von Salvadore Dali entworfen.
Weitere Facts;"""Wolfgang Amadeus komponierte einen sechsstimmigen Kanon namens 'Leck mich im A*sch'."""
Weitere Facts;Sigmund Freud, Urvater der Psychoanalyse, hat für seine Selbstexperimente Kokain genommen und soll so in eine Abhängigkeit geraten sein.
Weitere Facts;Genau genommen zählen Wassermelonen zu den Beeren.
Weitere Facts;Alle zwei Minuten machen Menschen mehr Fotos als im gesamten 19. Jahrhundert.
Weitere Facts;Die Giraffe hat genauso viele Halswirbel wie der Mensch, nämlich sieben.
